Finalidad,Finalidad_imagen,Cod. y Desc. Funcion,Cod. y Desc. Funcion_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,1,"5749,7651613","6202,78248","6202,78248","2832,12714296","464,45599435","311,02255476",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,2,"5749,7651613","6202,78248","6202,78248","3153,14148253","987,31860764","808,4928513",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,3,"5749,7651613","6202,78248","6262,633561","3594,4475254","1455,14374767","1358,47556021",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,4,"5749,7651613","6202,78248","6262,633561","3978,04730431","1962,31187503","1836,11090609",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,5,"5749,7651613","6202,78248","6262,633561","4239,25524203","2469,16711689","2371,57079835",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,6,"5749,7651613","6202,78248","6268,767561","4888,06700344","3632,22479694","3128,79066933",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,7,"5749,7651613","6202,78248","6268,767561","5145,64387639","4294,18819861","4131,50788494",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,8,"5749,7651613","6202,78248","6268,767561","5573,72459414","5016,33306753","4821,0193021",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,9,"5749,7651613","6202,78248","6288,767561","6034,17751149","5693,14757995","5465,67447726",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - ADMINISTRACION GUBERNAMENTAL,paraque/administracion_gubernamental.svg,1 - Legislativa,paraque/legislativa.svg,10,"5749,7651613","6202,78248","6668,767561","6455,82725333","6390,78437828","6188,20946527",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
