Cod. y Desc. Inciso,Cod. y Desc. Inciso_imagen,Cod. y Desc. Principal,Cod. y Desc. Principal_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,1,"93521,21722404","109491,561672","110158,520672","12768,44711908","7776,86937715","5017,36541695",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,2,"93521,21722404","109491,561672","110046,065245","22928,13181035","16594,31051564","12830,39584008",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,3,"93521,21722404","109491,561672","109960,680752","55459,91438008","24983,81630669","20981,61140987",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,4,"93521,21722404","109491,561672","109722,700399","61214,48796515","33718,70364179","29622,13841453",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,5,"93521,21722404","109491,561672","109833,388834","65317,38227648","42385,7369401","38076,46623502",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,6,"93521,21722404","109491,561672","109776,329755","74231,77331627","57464,87897547","48311,32995532",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,7,"93521,21722404","109491,561672","109539,089434","79542,21158814","67239,67883239","61778,725833",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,8,"93521,21722404","109491,561672","109189,213397","88483,363618","78224,29794261","72770,41187356",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,9,"93521,21722404","109491,561672","110159,361752","96457,4650681","89554,82091391","83759,37255546",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,10,"93521,21722404","109491,561672","111251,520674","103813,11736833","100471,08868689","94614,53753289",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,1 - Personal Permanente,que/personal_permanente.svg,11,"93521,21722404","109491,561672","128299,408634","113134,92111307","111587,95101558","105834,30798199",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,1,"4753,32041603","5106,920526","5107,920526","1194,05221605","388,39283779","201,31689438",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,2,"4753,32041603","5106,920526","5108,982924","1610,27915204","779,69019437","534,20964566",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,3,"4753,32041603","5106,920526","5156,882924","3068,96021924","1166,57915132","894,36067316",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,4,"4753,32041603","5106,920526","5156,882924","3335,36990556","1579,50869791","1361,27766405",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,5,"4753,32041603","5106,920526","5188,627924","3478,08133292","1975,53631791","1717,38768663",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,6,"4753,32041603","5106,920526","5188,627924","3817,66302489","2706,1249057","2236,25282779",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,7,"4753,32041603","5106,920526","5161,039519","3958,42535593","3138,26087483","2841,89709952",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,8,"4753,32041603","5106,920526","5152,97985","4266,14774024","3690,66643279","3362,40756066",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,9,"4753,32041603","5106,920526","5194,45697","4729,59594243","4310,40612851","3990,02435685",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,10,"4753,32041603","5106,920526","5267,780435","4912,73947257","4719,7118182","4431,2041562",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
1 - Gastos en Personal,que/gastos_en_personal.svg,2 - Personal Temporario,que/personal_temporario.svg,11,"4753,32041603","5106,920526","6096,826606","5425,65419048","5297,11952959","4942,05401573",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
