Poder,Poder_texto,Poder_orden,Poder_imagen,Jurisdiccion,Jurisdiccion_texto,Jurisdiccion_orden,Jurisdiccion_imagen,Administracion,Administracion_texto,Administracion_imagen,Nivel1,Nivel1_texto,Nivel1_imagen,Nivel2,Nivel2_texto,Nivel2_imagen,Nivel3,Nivel3_texto,Nivel3_imagen,Mes,Devengado Anterior,Sancionado,Presupuestado,Comprometido,Devengado,Pagado,Leyenda_Fecha_Act,Cod. Ejercicio Presupuestario
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,ASPCN - Ayuda Social Personal del Congreso de la Nación,,quien/ASPCN.jpg,DASPC - Dirección de Ayuda Social para el Personal del Congreso,,quien/default.jpg,Programa 20 - Asistencia Social Integral al Personal del Congreso de la Nacion,,,12,"447,22543364","358,923588","598,923588","527,52570282","527,52570282","420,85250099",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,BIBCN - Biblioteca del Congreso,,quien/BIBCN.jpg,Programa 18 - Asistencia Bibliografica,,quien/default.jpg,,,,12,"723,66926892","726,555002","974,555002","973,53105333","842,60450366","839,37586981",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,DPN - Defensoría del Pueblo,,quien/DPN.jpg,SGDPN - Subsecretaría General de la Defensoría del Pueblo,,quien/default.jpg,Programa 21 - Defensa de los Derechos de los Ciudadanos,,,12,"167,87647392","216,4373","249,4373","211,09887229","209,94099069","209,04600711",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,DPSCA - Defensoría del Público de Servicios de Comunicación Audiovisual,,quien/DPSCA.jpg,Programa 36 - Defensa del Publico de Servicios de Comunicacion Audiovisual,,quien/default.jpg,,,,12,"41,23855736","80,283","140,134081","59,14445622","52,32078779","52,32078779",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCDN - Cámara de Diputados,,quien/HCDN.jpg,CPMRCD - Comisión Parlamentaria Mixta Revisora de Cuentas,,quien/default.jpg,Programa 23 - Revision de Cuentas Nacionales,,,12,"6,8","8,84","8,84","8,84","8,84","6,63",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCDN - Cámara de Diputados,,quien/HCDN.jpg,HCDN - Honorable Cámara de Diputados,,quien/HCDN.jpg,Programa 17 - Formacion y Sancion Legislativa,,,12,"2699,50954081","2846,998233","3647,490778","3295,46400504","3143,80220448","3109,42297011",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,CBCFSS - Comisión Bicameral de Control de Fondos de la Seguridad Social,,quien/default.jpg,Programa 32 - Control Parlamentario de Los Fondos de la Seguridad Social,,,12,"6,873","10,722","10,722","10,722","10,722","10,722",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,CBF26.122 - Comisión Bicameral de Fiscalización Ley Nº 26.122,,quien/default.jpg,Programa 31 - Control Parlamentario de Seguimiento de Tramite Legislativo,,,12,"6,7","6,7","6,7","6,7","6,7","6,7",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,CBFOAI - Comisión Bicameral de Fiscalización de los Organismos y Actividades de Inteligencia,,quien/default.jpg,Programa 25 - Control Parlamentario sobre el Funcionamiento del Sistema de Inteligencia,,,12,"10,6","10,6","10,6","10,6","10,6","10,6",Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
PODLEG - Poder Legislativo Nacional,,1,quien/PODLEG.jpg,PODLEG - Poder Legislativo Nacional,,,quien/PODLEG.jpg,ADM CTRAL PODLEG - Administración Central del Poder Legislativo Nacional,,quien/adm_ctral.svg,HCSN - Senado de la Nación,,quien/HCSN.jpg,CBPySCA - Comisión Bicameral de Promoción y Seguimiento de la Comunicación Audiovisual,,quien/default.jpg,Programa 33 - Promocion y Seguimiento de la Comunicacion Audiovisual,,,12,8,8,8,8,8,6,Última actualización del ejercicio 2015: 13 Diciembre 2015.,2015
